Diameters,Lengths,Widths,Heights
0.550,3.015,0.867,0.624
0.581,3.031,0.863,0.631
0.545,3.029,0.857,0.621
0.575,3.035,0.849,0.614
0.575,3.025,0.855,0.627
0.571,3.037,0.860,0.619
0.561,3.020,0.867,0.623
0.559,3.031,0.864,0.616
0.542,3.032,0.865,0.619
0.575,3.038,0.864,0.620
0.580,3.023,0.849,0.623
0.547,3.031,0.862,0.631
0.590,3.031,0.869,0.630
0.575,3.023,0.869,0.621
0.563,3.033,0.862,0.624
0.563,3.034,0.853,0.625
0.562,3.027,0.847,0.623
0.571,3.027,0.837,0.622
0.595,3.032,0.862,0.621
0.547,3.031,0.864,0.632
0.580,,,
0.562,,,
0.568,,,
0.552,,,
0.586,,,
0.569,,,
0.590,,,
0.566,,,
0.571,,,
0.581,,,
0.561,,,
0.595,,,
0.571,,,
0.573,,,
0.580,,,
0.584,,,
0.586,,,
0.583,,,
0.574,,,
0.569,,,
0.565,,,
0.569,,,
0.571,,,
0.587,,,
0.562,,,
0.583,,,
0.580,,,
0.585,,,
0.568,,,
0.558,,,
0.570,,,
0.568,,,
0.569,,,
0.564,,,
0.573,,,
0.577,,,
0.550,,,
0.576,,,
0.592,,,
0.574,,,
0.582,,,
0.571,,,
0.567,,,
0.589,,,
0.573,,,
0.565,,,
0.565,,,
0.573,,,
0.587,,,
0.564,,,
0.551,,,
0.557,,,
0.566,,,
0.544,,,
0.561,,,
0.570,,,
0.566,,,
0.585,,,
0.562,,,
0.572,,,
0.550,,,
0.575,,,
0.574,,,
0.568,,,
0.567,,,
0.567,,,
0.584,,,
0.554,,,
0.577,,,
0.571,,,
0.560,,,
0.564,,,
0.579,,,
0.557,,,
0.563,,,
0.563,,,
0.582,,,
0.562,,,
0.575,,,
0.567,,,
